,teks,label,clean_teks
10,Anda akan berhenti berlangganan Paket Flash. Ketik FLASH<spasi>YA jika setuju. Tunggu SMS konfirmasi penonaktifan Paket Anda,2,anda akan henti langgan paket flash ketik flashspasiya jika tuju tunggu sms konfirmasi nonaktif paket anda
11,Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,2,anda akan langgan paket rupiah untuk mbak gg mbak ghari jika tuju balas flashspasiya kirim ke untuk lanjut paket panjang pada akhir masa aktif dengan tarif sesuai lokasi anda tunggu sms konfirmasi belum pakai info zona dan detail tarif lihat di tselmeinternet
12,"Anda akan membeli Paket Gampang Internetan Rp.1250 utk Chatting Sepuasnya (BBM, WhatsApp dan Line)/1 hari.Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan.Tunggu SMS konfirmasi sblm pemakaian.Info detail tariff lihat di Tsel.me/internet ",2,anda akan beli paket gampang internetan rupiah untuk chatting puas bbm whatsapp dan line harijika tuju balas flashspasiya kirim ke untuk melanjutkantunggu sms konfirmasi belum pemakaianinfo detail tariff lihat di tselmeinternet
13,"Anda akan menerima setting ponsel, agar ponsel Anda dapat mengakses internet dan berkirim foto/MMS. Jika Anda setuju balas pesan ini (gratis) dengan ketik Y.",2,anda akan terima setting ponsel agar ponsel anda dapat akses internet dan kirim fotomms jika anda tuju balas pesan ini gratis dengan ketik y
14,Anda akan mengaktifkan Paket BBM Gratis berlaku 30 hari dari pertama kali aktivasi. Ketik FLASH (spasi) YA untuk melanjutkan,2,anda akan aktif paket bbm gratis laku hari dari pertama kali aktivasi ketik flash spasi ya untuk lanjut
15,Anda mendapatkan 1 kupon dalam program Kartu As BIBER (Beli Internet Berhadiah). Cek total kupon maksimal 1x24 jam dari skrg di *100*123#. Info lengkap hub:188,2,anda dapat kupon dalam program kartu as biber beli internet hadiah cek total kupon maksimal x jam dari sekarang di info lengkap hub
16,Anda sedang menikmati Paket Reguler dgn sisa kuota 209715 KB.Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#,2,anda sedang nikmat paket reguler dgn sisa kuota kbdapatkan agam paket internet hemat tri di
17,Anda tidak terdaftar dalam layanan Paket Malam hari. Untuk berlangganan lakukan isi ulang dengan voucher Kenyang Download,2,anda tidak daftar dalam layan paket malam hari untuk langgan laku isi ulang dengan voucher kenyang download
18,"Anda tlh menukarkan poin 95 poin, Tukarkan terus poinnya siapa tahu anda pemenang hadih LG G3 32gb, pemenang adalah yang menukarkan poin tertinggi s/d 30 November 15",2,anda telah tukar poin poin tukar terus poin siapa tahu anda menang hadih lg g menang adalah yang tukar poin tinggi sd november
19,AngpaoPoinSenyum! Dptkan Vchr Lottemart 50rb dg tukar 2500poin (normal 5000poin) sd 11Feb16. Ketik *123*7887*2*5# TERBATAS! Info: www.indosatooredoo.com/angpao,2,angpaopoinsenyum dptkan vchr lottemart dg tukar poin normal poin sd feb ketik batas info
20,Awal bulan saat nya anda eksis lebih lama! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/FL,2,awal bulan saat nya anda eks lebih lama internetan pakai volume ultima mbhr hrga mulai rupiah di tariflokasi cek di tselmefl
21,"Ayam (sayap/paha bawah), Nasi, Perkedel Rp. 19.545. GRATIS Teh Pucuk. Tukar SMS ini di CFC HASAN SADIKIN hari ini. Selama Persediaan msh ada. Promo *606#",2,ayam sayappaha bawah nasi perkedel rupiah gratis teh pucuk tukar sms ini di cfc hasan sadikin hari ini lama sedia masih ada promo
22,"Ayo anak Medan, beli sticker line dengan pulsamu Caranya klik http://www.telkomsel.com/linestore nama stickernya : Kedan Medan",2,ayo anak medan beli stiker line dengan pulsa cara klik nama stickernya dan medan
23,AYO download AXISnet dari Apple/Play Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 1GB 30hr dapat OBOR 5GB (00-06) Rp18800. Info838. LD335,2,ayo download axisnet dari appleplay store dan aktif bronetjam hr rupiah dan bronetjam hr dapat obor rupiah info ld
24,AYO download AXISnet dari PLAY/Apple Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 3GB 60hr dapat OBOR 10GB (00-06) Rp39800. Info838. LD307,2,ayo download axisnet dari playapple store dan aktif bronetjam hr rupiah dan bronetjam hr dapat obor rupiah info ld
25,Ayo dukung pelestarian alam Indonesia bersama Indosat Ooredoo dan WWF-Indonesia dg berdonasi melalui *123*50# dari nomor Indosat Ooredoo.,2,ayo dukung lestari alam indonesia sama indosat ooredoo dan wwfindonesia dg donasi lalu dari nomor indosat ooredoo
26,"Ayo kawal pemanfaatan subsidi BBM & Kompensasi bagi yang berhak! Pengaduan, ketik BBM (spasi) isi pesan. Kirim 1708",2,ayo kawal manfaat subsidi bbm kompensasi bagi yang hak adu ketik bbm spasi isi pesan kirim
27,"BANTING HARGA !! Internetan dgn Kuota 1,5GB HANYA 10rb Rupiah, paket Berlaku sebulan. Mau?? Ketik YA ke 919 s/d 16 Desember 2015",2,banting harga internetan dgn kuota hanya rupiah paket laku bulan mau ketik ya ke sd desember
28,BEBAS ekspresikan dirimu bersama Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,2,bebas ekspresi diri sama paket freedom combo dari indosat ooredoo segera hub atau
29,Bebas Pulsa! Ambil bonusmu di *600# (GRATIS). Dptkan gratis nelpon atau internetas atau promo lainnya sesuai hobimu!,2,bebas pulsa ambil bonus di gratis dptkan gratis telpon atau internetas atau promo lain sesuai hobi
30,"Beli 1 Gratis 1 untuk Lychee Tea atau Latte Flavour dari Yellow Truck Jl.Patuha No.29. Tukarkan SMS ini. Hanya berlaku untuk hari ini, S&K Berlaku.Promo *606#",2,beli gratis untuk lychee tea atau latte flavour dari yellow truck jlpatuha nomor tukar sms ini hanya laku untuk hari ini sk berlakupromo
31,Beli 2 Gratis 1 atau beli 1 Diskon 25% tiket Kampung Gajah Wonderland Bandung s.d 31 Mei 2013. Tunjukkan SMS kpd Petugas .Info: www.indosat.com/kampunggajah,2,beli gratis atau beli diskon tiket kampung gajah wonderland bandung sd mei tunjuk sms kpd tugas info
32,Beli 6 Gratis 6 Donut dari DUNKIN DONUTS BORMA SETIABUDHI. Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Selama persediaan masih ada. Promo *606#,2,beli gratis donut dari dunkin donuts borma setiabudhi tukar sms ini segera hanya laku untuk hari ini lama sedia masih ada promo
33,Beli paket Turbo mulai 50rb utk pembelian pertama di MyTelkomsel App sjk 25Aug - 25Sept dpt EXTRA PULSA TSEL Rp 50rb loh! Cek detail paket di tsel.me/mytsel1,2,beli paket turbo mulai untuk beli pertama di mytelkomsel app sjk aug september dpt extra pulsa rupiah loh cek detail paket di tselmemytsel
34,"Bisa Internetan 1,5GB CUMA dengan 20rb, paket berlaku 90 hari. MAU?? Ketik YA ke 919. Penawaran berlaku s/d 8 Januari 2016",2,bisa internetan cuma dengan paket laku hari mau ketik ya ke tawar laku sd januari
35,"BONUS KUOTA 500MB (1hr)! Cukup isi ulang min. 5,000 hari ini! Ayo buruan isi pulsa sekarang juga. T514",2,bonus kuota mbak hr cukup isi ulang min hari ini ayo buru isi pulsa sekarang juga t
36,BONUS PULSA 10RB! Ayo isi pulsa min. 5rb & dapetkan bonus pulsa 10rb utk nelp ke nmr Tri! Hanya hari ini saja! Ayo buruan isi pulsa! T530,2,bonus pulsa ayo isi pulsa min dapetkan bonus pulsa untuk telpon ke nomor tri hanya hari ini saja ayo buru isi pulsa t
37,"BONUS PULSA 50% dari Indosat Ooredoo, MAU?? Ketik *345# dan call dari HP kamu sebelum 28 April 2016",2,bonus pulsa dari indosat ooredoo mau ketik dan telepon dari hp kamu belum april
38,BONUS PULSA 50rb cuma dgn isi ulang 25rb!! Hny Indosat yg bisa begini. Penawaran berlaku s/d 11 April 2016. Bonus 1x utk digunakan ke sesama Indosat Ooredoo,2,bonus pulsa cuma dgn isi ulang hny indosat yang bisa begini tawar laku sd april bonus x untuk guna ke sama indosat ooredoo
39,BONUS PULSA Rp 100 rb..!! Spesial untuk kamu pelanggan setia Indosat Ooredo.Hanya dengan isi ulang Rp150rb skrg juga! Penawaran berlaku s.d 13 Jan 2016 (bonus hanya 1x),2,bonus pulsa rupiah spesial untuk kamu langgan setia indosat ooredohanya dengan isi ulang rprb sekarang juga tawar laku sd jan bonus hanya x
40,"BONUS Rp. 5,000 untuk kamu! Cukup kirim SMS 2X hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  T483",2,bonus rupiah untuk kamu cukup kirim sms x hari ini untuk dapat bonus khusus hari ini saja t
41,"BONUS Rp. 5,000 untuk kamu! Cukup telpon teman kamu selama 2 menit hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  A010",2,bonus rupiah untuk kamu cukup telepon teman kamu lama menit hari ini untuk dapat bonus khusus hari ini saja a
42,Buktikan hematnya pakai argo tetap di Bandung dengan GrabCar hingga 20%. Hayu ajakan rerencangan sareng buktikeun nyalira!,2,bukti hemat pakai argo tetap di bandung dengan grabcar hingga hayu aja rencang bareng buktikeun nyalira
43,Buruan Download & Registrasi myCare di http://bit.ly/mycarepLy dan dapatkan Promo 10GB (4G) di Paket Freedoom M & L dengan harga khusus HANYA HARI INI.,2,buru download registrasi mycare di dan dapat promo g di paket freedoom m l dengan harga khusus hanya hari ini
44,"Butuh Piknik?Ada nih liburan GRATIS ke Hongkong!Cara:Pake pulsa AXIS di HP Androidmu buat transaksi sebanyak2nya items Pokemon Go,BIGO,COC, dll!Info838 LD328",2,butuh piknikada nih libur gratis ke hongkongcarapake pulsa axis di hp androidmu buat transaksi banyak items pokemon gobigococ dllinfo ld
45,"Buy 2 Get 3 tiket Trans Studio Bandung,mulai 14 Mei-14Juni 2013.Tunjukkan SMS ke petugas di lokasi. Info: www.indosat.com/transstudiobgd",2,buy get tiket trans studio bandungmulai meijuni tunjuk sms ke tugas di lokasi info
46,cuma Rp 7500 dapat nelpon dan SMS UNLIMITED ke sesama Indosat Ooredoo   internetan sepuasnya 3 hari dengan paket Ramadhan Unlimited. ketik *123*88#,2,cuma rupiah dapat telpon dan sms unlimited ke sama indosat ooredoo internetan puas hari dengan paket ramadhan unlimited ketik
47,"Dapatkan BONUS PULSA hg 50rb jika isi ulang di hari Minggu, isi ulang mulai dr 10rb. Ktk: GRATIS krm ke 123. Panduan: ketik PAN krm ke123. Cek bonus tekan*555*3#",2,dapat bonus pulsa hg jika isi ulang di hari minggu isi ulang mulai dr ktk gratis krm ke pandu ketik pan krm ke cek bonus tekan
48,"Dapatkan Bonus SMS Kamu. Hanya dg kirim SMS, Kamu akan dapat Bonus Ratusan SMS ke semua operator. Pakai terus Indosat Ooredoo & raih kebebasan berkomunikasi",2,dapat bonus sms kamu hanya dg kirim sms kamu akan dapat bonus ratus sms ke semua operator pakai terus indosat ooredoo raih bebas komunikasi
49,Dapatkan Disc 20% di McDonalds khusus utk pembayaran dgn TCASH TAP!Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo,2,dapat disc di mcdonalds khusus untuk bayar dgn tcash tapdptkan stiker tcash tap di grapari dekat info tselmetappromo
50,Dapatkan Disc.30% utk Dominos PAN PIZZA!Roti yg lebih tebal dgn keju terasa sampai pinggir!Mulai Rp45500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id,2,dapat disc untuk dominos pan pizzaroti yang lebih tebal dgn keju asa sampai pinggirmulai rpkunjungi toko terdekattelf klik panpizzacoid
51,"Dapatkan EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr dg beli paket FLASH mulai 1GB di MY TELKOMSEL APP. Buruan, cek  di tsel.me/mytsel1 S&K",2,dapat extra kuota g lte dan extra telpon hingga mnthr dg beli paket flash mulai di my telkomsel app buru cek di tselmemytsel sk
52,"Dapatkan GRATIS 1 cappuccino (hot/ice) & Freza, setiap transaksi min Rp75Rb di EXCELSO Cafe Semarang, Yogya, Solo sd 9 Agust 13. Tunjukkan SMS kpd petugas",2,dapat gratis cappuccino hotice freza tiap transaksi min rprb di excelso cafe semarang yogya solo sd agust tunjuk sms kpd tugas
53,Dapatkan GRATIS Wendy's Crispy Chicken Sandwich dengan minimal pembelian Rp.100.000. Tukarkan SMS ini di Wendy's terdekat! Persediaan terbatas. Promo *606#,2,dapat gratis wendys crispy chicken sandwich dengan minimal beli rupiah tukar sms ini di wendys dekat sedia batas promo
54,Dapatkan saldo bermain sebesar Rp 125rb hanya dengan bayar Rp 75rb. Berlaku hari Senin-Kamis. Tukarkan SMS ini segera di Timezone terdekat! Promo *606#,2,dapat saldo main besar rupiah hanya dengan bayar rupiah laku hari seninkamis tukar sms ini segera di timezone dekat promo
55,"Dapatkan voucher Cipika Rp 100rb utk belanja kuliner, gadget, fashion, dll. Tkn *123*45# pilih Cipika, GRATIS & terbatas. Info: www.indosatooredoo.com/12345",2,dapat voucher cipika rupiah untuk belanja kuliner gadget fashion dll tkn pilih cipika gratis batas info
56,"Dear Customer, Kindly values your experience at Telkomsel Service, score between 1(very poor) to 5 (excellent), send SMS to 1166 (FREE) (for int'l charged)",2,dear customer kindly values your experience at telkomsel servis score antara very poor untuk excellent kirim sms untuk free for intl charged
57,Disc.25%  Domino's Pizza Value Range s/d 14 Agustus.Kunjungi store terdekat/hubungi 1500366/visit http://bit.ly/294KoZ6 Kode:VR25D,2,disc dominos pizza value range sd agustuskunjungi store terdekathubungi visit kodevrd
58,"DISKON 30RIBU khusus pelanggan baru Grab di Bandung. Berlaku 3x: kode promo URANGBANDUNG. Tak usah repot jalanan macet dan susah parkir, Hayu ngeGrab we atuh!",2,diskon ribu khusus langgan baru grab di bandung laku x kode promo urangbandung tidak usah repot jalan macet dan susah parkir hayu ngegrab we atuh
59,DISKON 50% kuota NELPON++ 20 MENIT ke smua operator! Cuma Rp7rb (Normal Rp14rb) dg masa aktif panjang. Balas SMS ini dgn ketik Tri. Hanya HARI INI! V712,2,diskon kuota telpon menit ke semua operator cuma rprb normal rprb dg masa aktif panjang balas sms ini dgn ketik tri hanya hari ini v
60,"DISKON 50% utk Kacamata Lengkap + Bonus Kacamata Hitam, Tunjukan SMS ini di JL Gatot Soebroto 88 T.7333812. S&amp;K Berlaku.Promo*606#",2,diskon untuk kacamata lengkap bonus kacamata hitam tunjuk sms ini di jl gatot soebroto t sampk berlakupromo
61,Domino's PAN PIZZA!Rotinya lebih tebal dgn keju terasa sampai pinggir! Nikmati Disc.30% dimulai Rp45.500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id,2,dominos pan pizzarotinya lebih tebal dgn keju asa sampai pinggir nikmat disc mulai rpkunjungi toko terdekattelf klik panpizzacoid
62,DOUBLE kuota internet plus UNLIMITED Telpon dan SMS dengan Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,2,double kuota internet plus unlimited telepon dan sms dengan paket freedom combo dari indosat ooredoo segera hub atau
63,Download dan rasakan serunya game-game premium pilihan hanya di *900#,2,download dan rasa seru gamegame premium pilih hanya di
64,"Dptkn Free member card Larissa Aesthetic Center, disc 15% high treatment & asuransi jiwa, tiap isi ulang pulsa Rp 100rb di Galeri Indosat Jateng DIY s.d 31Des 13",2,dptkn free member card larissa aesthetic center disc high treatment asuransi jiwa tiap isi ulang pulsa rupiah di galeri indosat jateng diy sd des
65,"Dptkn kesempatan raih hadiah utama mobil Alphard dg cara tukar 500 poin senyum Anda dg 1 kupon Undian s.d tgl 20Jun13,ketik Undian Jmlh Poin ke 7887(Rp25)",2,dptkn sempat raih hadiah utama mobil alphard dg cara tukar poin senyum anda dg kupon undi sd tanggal junketik undi jmlh poin ke rupiah
66,Dukung rehabilitasi & pengembangan potensi anak berkebutuhan khusus di YPAC Jakarta. Mari berbagi melalui SMS Donasi dengan mengetik *123*65#,2,dukung rehabilitasi kembang potensi anak butuh khusus di ypac jakarta mari bagi lalu sms donasi dengan etik
67,"Flash Promo s.d 9 Agt! Ayo datangi Gallery Smartfren terdekat, DISKON 290rb dg tukar HP Smartfrenmu ke Andromax 4G LTE atau 190 utk tukar dg MiFi 4G LTE",2,flash promo sd agt ayo datang gallery smartfren dekat diskon dg tukar hp smartfrenmu ke andromax g lte atau untuk tukar dg mifi g lte
68,FREE DoubleScoop Ice Cream / Disc 10% di Haagen-Dasz dengan TCASH TAP! S&K berlaku. Info tsel.me/tappromo,2,free doublescoop ice cream disc di haagendasz dengan tcash tap sk laku info tselmetappromo
69,"GRATIS 10GB! Bagi yg blm mengganti kartu SIM menjadi SIM 4G, tukarkan skrg di gerai IndosatOoredoo terdekat dan nikmati GRATIS 10GB di jaringan 4G.",2,gratis bagi yang belum ganti kartu sim jadi sim g tukar sekarang di gerai indosatooredoo dekat dan nikmat gratis di jaring g
70,"GRATIS nelpon kemana saja, ke semua operator! Cukup beli Internet Harian 100MB seharga Rp1500. Balas SMS ini dgn ketik JS utk membeli. N092",2,gratis telpon mana saja ke semua operator cukup beli internet hari mbak harga rupiah balas sms ini dgn ketik js untuk beli n
71,GRATIS Whatsapp seharian! Cukup beli Internet Harian 100MB seharga Rp1500. Balas SMS ini dgn ketik JR utk membeli. N091,2,gratis whatsapp hari cukup beli internet hari mbak harga rupiah balas sms ini dgn ketik jr untuk beli n
72,Gunakan Grab dan nikmati 75% diskon untuk 10x bagi pengguna baru. Masukkan kode COBAGRABCAR sekarang juga dan ajak teman-temanmu keliling bandung tanp,2,guna grab dan nikmat diskon untuk x bagi guna baru masuk kode cobagrabcar sekarang juga dan ajak temantemanmu keliling bandung tanp
73,Gunakan GrabCar atau GrabTaxi & dapatkan diskon 35RIBU ke dan dari Stasiun/Bandara di Bandung. Masukkan kode promo GRABTRAVEL hingga pemakaian 30 September 2016. Hatur Nuhun.,2,guna grabcar atau grabtaxi dapat diskon ribu ke dan dari stasiunbandara di bandung masuk kode promo grabtravel hingga pakai september hatur nuhun
74,Gunakan TCASH untuk bayar tagihan listrik atau beli token listrik! Cukup hubungi *800# dan pilih menu pembayaran atau pembelian,2,guna tcash untuk bayar tagih listrik atau beli token listrik cukup hubung dan pilih menu bayar atau beli
75,"Hai Apa Kabar? Ada Bonus Meriah Cukup isi pulsa minimun Rp 5 Ribu s.d 15 November, kamu langsung dapatkan 300 MB GRATIS. Ayo isi pulsa! Bonus utk 3 hari. RL044A",2,hai apa kabar ada bonus riah cukup isi pulsa minimun rupiah ribu sd november kamu langsung dapat mbak gratis ayo isi pulsa bonus untuk hari rla
76,"Hallo Bro, beli koin games pakai pulsamu yuk, mudah banget loh sob, cek http://tsel.me/jajanonline",2,hallo bro beli koin games pakai pulsa yuk mudah banget loh sob cek
77,"Hallo urang minang, ado sticker rancak di Group Line Urang Kampuang MINANG GUY, beli pake pulsa Telkomsel",2,hallo urang mang ado stiker rancak di group line urang kampuang mang guy beli pakai pulsa telkomsel
78,"Hanya HARI ini! Freedom Combo XL Cuma Rp 89rb (Normal Rp 149rb) 20GB Music streaming gak pake kuota, UNLIMITED Nelp&SMS. Daftar *123#",2,hanya hari ini freedom combo xl cuma rupiah normal rupiah musik streaming gak pakai kuota unlimited nelpsms daftar
79,Hanya HARI INI!!! Cuma dengan seribu kamu langsung dapat 200 MB untuk 3 hari. Cukup balas SMS ini dengan ketik yA4. Buruan beli sekrang TL049B,2,hanya hari ini cuma dengan ribu kamu langsung dapat mbak untuk hari cukup balas sms ini dengan ketik ya buru beli sekrang tlb
80,"HARI INI Freedom Combo XL Rp89rb (normal Rp149rb). DOUBLE kuota 5GB+5GB(4G)+ PROMO 10GB(4G), UNLIMITED nelp & SMS ke Indosat Ooredoo. Ketik FREEDOM XL ke 363",2,hari ini freedom combo xl rprb normal rprb double kuota gbgbg promo gbg unlimited telpon sms ke indosat ooredoo ketik freedom xl ke
81,Hari ini! BRONET 24Jam 3GB 60hr Rp31900 dan BRONETSpecial 6GB 60hr (3GB 24Jam+3GB 00-06) Rp34900 di *123*888# SEGERA aktifkan paketnya sekarang!! Info838 LD300,2,hari ini bronet jam hr rupiah dan bronetspecial hr jamgb rupiah di segera aktif paket sekarang info ld
82,Hari ini!! BRONET Special 4GB (2GB 24Jam+2GB 00-06) 60hr Rp24900 dan BRONET 24Jam 1GB 60hr Rp10900. AYO SEGERA aktifkan paket kamu di *123*888#. Info838 LD309,2,hari ini bronet special jamgb hr rupiah dan bronet jam hr rupiah ayo segera aktif paket kamu di info ld
83,Hari Rabu saatnya blanja di blanja.com & Nikmati diskon spesial untuk transaksi dengan TCASH! S&K Berlaku. Klik blj.co/tcashrabu,2,hari rabu saat blanja di blanjacom nikmat diskon spesial untuk transaksi dengan tcash sk laku klik bljcotcashrabu
84,Hari Senin saatnya Nonton Hemat hanya 25ribu di Cinema XXI dgn TCASH TAP! Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo,2,hari senin saat nonton hemat hanya ribu di cema xxi dgn tcash tap dptkan stiker tcash tap di grapari dekat info tselmetappromo
85,"HARI TERAKHIR! Kunjungi Galeri Smartfren skrng, buat kamu Andromax A 4G jd 99rb (nrml 649rb). Tunggu apa lagi?!Stok terbatas.sd 22Agt.S&K.Info888.DL46J",2,hari akhir kunjung galeri smartfren sekarang buat kamu andromax a g jd nrml tunggu apa lagistok terbatassd agtskinfodlj
86,"Hayu dateng, mumpung ada ustad Fatih karim,beliau yg mengislamkan ustad Felix siaw",2,hayu dateng mumpung ada ustad fatih karimbeliau yang islam ustad felix siaw
87,Hi! Ayo coba Grab untuk pemesanan taxi yang cepat dan aman. Klik: https://invite.grab.co/37aa4d,2,hi ayo coba grab untuk mesan taxi yang cepat dan aman klik
88,HOT PROMO! Dptkan EXTRA PULSA TSEL 50rb dg beli paket internet pertama kali di My Telkomsel App sjk 25 Agsts - 25 Sept. Cek detail paketnya di tsel.me/mytsel1,2,hot promo dptkan extra pulsa dg beli paket internet pertama kali di my telkomsel app sjk agsts september cek detail paket di tselmemytsel
89,"HOT PROMO: Internetan kuota 1,2GB/30hr HANYA Rp 15ribu aja! Beli di *363*822#. Promo s.d 30Juni16. S&K",2,hot promo internetan kuota gbhr hanya rupiah ribu saja beli di promo sd juni sk
90,"I’m spreading the GO-JEK love. Download the GO-JEK app at “http://go-jek.com/app” and input this referral code “545075264” to get Rp 50,000 free credit to your first booking. #gojekgotmehere",2,im spreading the gojek love download the gojek app at and input this referral code untuk get rupiah free credit untuk your first booking gojekgotmehere
91,Ikuti JobFairActive & UjiKlyakanKerjaBerstifikat @PlasaTelkomMlg 9Feb13. dptkan platihan Intrview&Rekom kerja ke ribuan Ph. Info: www.indogetjob.com/085233334106,2,ikut jobfairactive ujiklyakankerjaberstifikat plasatelkommlg feb dptkan platihan intrviewrekom kerja ke ribu ph info
92,Internetan puas kapan aja buat kamu yang butuh kuota besar. Paket SUMO 30GB 30hari semua jaringan. Beli di *123*3*3#. Info 123. D956,2,internetan puas kapan saja buat kamu yang butuh kuota besar paket sumo hari semua jaring beli di info d
93,"Isi saldo TCASHmu  melalui jaringan ATM Bersama & ATM BCA! Lakukan transfer antar bank, Pilih bank TCASH (Kode bank 911). Gunakan No HP sbg no rekening tujuan.",2,isi saldo tcashmu lalu jaring atm sama atm bca laku transfer antar bank pilih bank tcash kode bank guna nomor hp bagai nomor rekening tuju
94,"Isi ulang Kuota++ 3GB berhasil, dan kuota tlh ditambahkan. Nikmati juga BONUS NELPON ke semua Tri Rp10rb, cek bonus di *111*2# atau BimaTri.",2,isi ulang kuota hasil dan kuota telah tambah nikmat juga bonus telpon ke semua tri rprb cek bonus di atau bimatri
95,Isi ulang Rp50000.0 berhasil. Kode transaksi 99100827288792. Cek *123*888# untuk promo RABU RAWIT & JUMAT BAIK buat semua Pelanggan AXIS!,2,isi ulang rupiah hasil kode transaksi cek untuk promo rabu rawit jumat baik buat semua langgan axis
96,Jalani ibadah Haji dg nyaman tnpa prlu ganti kartu lokal.Nikmati GRATIS 2menit/hr trima telp dr IndosatOoredoo&Internet UNLIMITED Rp30Rb/hari.Info: *122*1# PAI3,2,jalan ibadah haji dg nyaman tanpa perlu ganti kartu lokalnikmati gratis menithr trima telepon dr indosatooredoointernet unlimited rprbhariinfo pai
